"ID";"Produto";"Descrição";"Preço original (R$)";"Estoque";"Fotos";"Desconto (%)";"Preço final (R$)";"Exige receita"
"278";"Pomada para Assaduras (4)";"45g";"37,25";"274";"";"25";"27,94";"Não"
"277";"Colônia Infantil (4)";"100ml";"21,31";"199";"";"0";"21,31";"Não"
"276";"Fralda Íntima Adulto (4)";"pacote 8 unidades";"6,29";"133";"https://exemplo.com/fotos/produto4322_1.jpg | https://exemplo.com/fotos/produto3608_2.jpg";"10";"5,66";"Não"
"275";"Absorvente Íntimo (4)";"pacote 8 unidades";"87,61";"151";"https://exemplo.com/fotos/produto2399_1.jpg";"25";"65,71";"Não"
"274";"Teste de Gravidez (4)";"unidade";"15,48";"134";"https://exemplo.com/fotos/produto8144_1.jpg";"25";"11,61";"Não"
"273";"Preservativo (4)";"pacote 3 unidades";"19,91";"53";"";"0";"19,91";"Não"
"272";"Protetor Labial FPS 15 (4)";"4g";"36,89";"223";"https://exemplo.com/fotos/produto2318_1.jpg";"20";"29,51";"Não"
"271";"Repelente de Insetos (4)";"100ml";"31,30";"153";"https://exemplo.com/fotos/produto8830_1.jpg | https://exemplo.com/fotos/produto9821_2.jpg";"0";"31,30";"Não"
"270";"Lenço Umedecido (4)";"pacote 50 unidades";"49,05";"259";"https://exemplo.com/fotos/produto3861_1.jpg";"25";"36,79";"Não"
"269";"Fralda Infantil (4)";"pacote 30 unidades";"51,83";"100";"";"0";"51,83";"Não"
"268";"Fralda Geriátrica (4)";"pacote 8 unidades";"25,20";"29";"https://exemplo.com/fotos/produto1202_1.jpg";"30";"17,64";"Não"
"267";"Soro Fisiológico (4)";"10ml";"8,74";"272";"";"0";"8,74";"Não"
"266";"Algodão Hidrófilo (4)";"50g";"84,66";"252";"";"0";"84,66";"Não"
"265";"Gaze Estéril (4)";"pacote 10 unidades";"87,21";"28";"https://exemplo.com/fotos/produto6739_1.jpg | https://exemplo.com/fotos/produto8270_2.jpg";"30";"61,05";"Não"
"264";"Curativo Adesivo (4)";"caixa 100 unidades";"59,25";"138";"";"5";"56,29";"Não"
"263";"Termômetro Digital (4)";"unidade";"84,61";"124";"https://exemplo.com/fotos/produto2569_1.jpg";"0";"84,61";"Não"
"262";"Luva Descartável (4)";"100 unidades";"58,03";"243";"";"0";"58,03";"Não"
"261";"Máscara Descartável (4)";"50 unidades";"50,40";"211";"https://exemplo.com/fotos/produto3190_1.jpg | https://exemplo.com/fotos/produto4345_2.jpg";"10";"45,36";"Não"
"260";"Álcool Etílico 70% (4)";"1L";"53,21";"155";"";"10";"47,89";"Não"
"259";"Álcool em Gel 70% (4)";"500ml";"57,06";"23";"";"0";"57,06";"Não"
"258";"Escova Dental (4)";"unidade";"35,95";"24";"";"0";"35,95";"Não"
"257";"Fio Dental (4)";"50m";"23,84";"148";"https://exemplo.com/fotos/produto7843_1.jpg";"25";"17,88";"Não"
"256";"Enxaguante Bucal (4)";"500ml";"26,56";"299";"https://exemplo.com/fotos/produto1029_1.jpg";"0";"26,56";"Não"
"255";"Creme Dental (4)";"90g";"68,21";"24";"";"25";"51,16";"Não"
"254";"Desodorante Antitranspirante (4)";"150ml";"69,99";"226";"";"30";"48,99";"Não"
"253";"Sabonete em Barra (4)";"90g";"89,19";"295";"";"10";"80,27";"Não"
"252";"Condicionador Hidratante (4)";"350ml";"58,53";"201";"https://exemplo.com/fotos/produto5337_1.jpg";"15";"49,75";"Não"
"251";"Shampoo Anticaspa (4)";"200ml";"87,12";"231";"https://exemplo.com/fotos/produto2713_1.jpg | https://exemplo.com/fotos/produto5129_2.jpg";"25";"65,34";"Não"
"250";"Hidratante Corporal (4)";"400ml";"14,78";"271";"";"10";"13,30";"Não"
"249";"Sabonete Líquido Facial (4)";"150ml";"62,77";"192";"";"5";"59,63";"Não"
"248";"Protetor Solar Corporal FPS 30 (4)";"200ml";"21,91";"206";"";"5";"20,81";"Não"
"247";"Protetor Solar Facial FPS 60 (4)";"40g";"57,35";"121";"";"0";"57,35";"Não"
"246";"Pente Fino Anti Piolho (3)";"unidade";"86,97";"245";"";"5";"82,62";"Não"
"245";"Talco Infantil (3)";"100g";"28,37";"233";"";"25";"21,28";"Não"
"244";"Shampoo Infantil (3)";"200ml";"56,89";"129";"";"30";"39,82";"Não"
"243";"Protetor Solar Infantil FPS 50 (3)";"120ml";"29,47";"84";"https://exemplo.com/fotos/produto4622_1.jpg | https://exemplo.com/fotos/produto2073_2.jpg";"10";"26,52";"Não"
"242";"Base Líquida FPS 15 (3)";"30ml";"89,67";"56";"";"20";"71,74";"Não"
"241";"Creme Antissinais (3)";"30g";"81,06";"69";"";"0";"81,06";"Não"
"240";"Esfoliante Facial (3)";"100g";"71,10";"261";"";"25";"53,33";"Não"
"239";"Óleo Corporal Hidratante (3)";"120ml";"8,46";"66";"";"10";"7,61";"Não"
"238";"Pomada para Assaduras (3)";"45g";"73,19";"258";"";"0";"73,19";"Não"
"237";"Colônia Infantil (3)";"100ml";"10,71";"183";"";"0";"10,71";"Não"
"236";"Fralda Íntima Adulto (3)";"pacote 8 unidades";"69,90";"234";"https://exemplo.com/fotos/produto7559_1.jpg";"0";"69,90";"Não"
"235";"Absorvente Íntimo (3)";"pacote 8 unidades";"57,61";"250";"";"20";"46,09";"Não"
"234";"Teste de Gravidez (3)";"unidade";"42,98";"224";"";"0";"42,98";"Não"
"233";"Preservativo (3)";"pacote 3 unidades";"54,52";"217";"";"10";"49,07";"Não"
"232";"Protetor Labial FPS 15 (3)";"4g";"55,96";"281";"https://exemplo.com/fotos/produto7882_1.jpg";"5";"53,16";"Não"
"231";"Repelente de Insetos (3)";"100ml";"76,61";"19";"https://exemplo.com/fotos/produto2928_1.jpg";"15";"65,12";"Não"
"230";"Lenço Umedecido (3)";"pacote 50 unidades";"15,46";"126";"https://exemplo.com/fotos/produto1673_1.jpg";"25";"11,60";"Não"
"229";"Fralda Infantil (3)";"pacote 30 unidades";"8,55";"265";"";"10";"7,70";"Não"
"228";"Fralda Geriátrica (3)";"pacote 8 unidades";"76,94";"242";"";"0";"76,94";"Não"
"227";"Soro Fisiológico (3)";"10ml";"63,50";"82";"https://exemplo.com/fotos/produto7627_1.jpg";"30";"44,45";"Não"
"226";"Algodão Hidrófilo (3)";"50g";"56,65";"198";"";"30";"39,66";"Não"
"225";"Gaze Estéril (3)";"pacote 10 unidades";"76,17";"22";"https://exemplo.com/fotos/produto6153_1.jpg";"0";"76,17";"Não"
"224";"Curativo Adesivo (3)";"caixa 100 unidades";"14,25";"251";"https://exemplo.com/fotos/produto5941_1.jpg";"0";"14,25";"Não"
"223";"Termômetro Digital (3)";"unidade";"29,08";"266";"";"0";"29,08";"Não"
"222";"Luva Descartável (3)";"100 unidades";"57,89";"189";"https://exemplo.com/fotos/produto3390_1.jpg";"10";"52,10";"Não"
"221";"Máscara Descartável (3)";"50 unidades";"16,05";"26";"https://exemplo.com/fotos/produto7499_1.jpg | https://exemplo.com/fotos/produto2458_2.jpg";"30";"11,24";"Não"
"220";"Álcool Etílico 70% (3)";"1L";"39,53";"186";"";"0";"39,53";"Não"
"219";"Álcool em Gel 70% (3)";"500ml";"81,64";"216";"";"0";"81,64";"Não"
"218";"Escova Dental (3)";"unidade";"59,78";"200";"https://exemplo.com/fotos/produto1096_1.jpg";"15";"50,81";"Não"
"217";"Fio Dental (3)";"50m";"80,11";"212";"";"10";"72,10";"Não"
"216";"Enxaguante Bucal (3)";"500ml";"40,52";"26";"";"30";"28,36";"Não"
"215";"Creme Dental (3)";"90g";"60,51";"203";"https://exemplo.com/fotos/produto5641_1.jpg";"5";"57,48";"Não"
"214";"Desodorante Antitranspirante (3)";"150ml";"13,62";"202";"https://exemplo.com/fotos/produto9749_1.jpg";"0";"13,62";"Não"
"213";"Sabonete em Barra (3)";"90g";"72,60";"280";"";"15";"61,71";"Não"
"212";"Condicionador Hidratante (3)";"350ml";"20,74";"159";"";"0";"20,74";"Não"
"211";"Shampoo Anticaspa (3)";"200ml";"8,25";"104";"https://exemplo.com/fotos/produto7700_1.jpg";"10";"7,43";"Não"
"210";"Hidratante Corporal (3)";"400ml";"33,90";"22";"";"5";"32,21";"Não"
"209";"Sabonete Líquido Facial (3)";"150ml";"65,33";"179";"";"10";"58,80";"Não"
"208";"Protetor Solar Corporal FPS 30 (3)";"200ml";"43,17";"133";"https://exemplo.com/fotos/produto1103_1.jpg | https://exemplo.com/fotos/produto2733_2.jpg";"30";"30,22";"Não"
"207";"Protetor Solar Facial FPS 60 (3)";"40g";"21,50";"38";"";"0";"21,50";"Não"
"206";"Pente Fino Anti Piolho (2)";"unidade";"24,80";"25";"";"30";"17,36";"Não"
"205";"Talco Infantil (2)";"100g";"45,35";"118";"https://exemplo.com/fotos/produto1661_1.jpg";"5";"43,08";"Não"
"204";"Shampoo Infantil (2)";"200ml";"60,22";"51";"https://exemplo.com/fotos/produto2676_1.jpg";"0";"60,22";"Não"
"203";"Protetor Solar Infantil FPS 50 (2)";"120ml";"38,67";"125";"";"0";"38,67";"Não"
"202";"Base Líquida FPS 15 (2)";"30ml";"18,03";"296";"";"0";"18,03";"Não"
"201";"Creme Antissinais (2)";"30g";"21,93";"126";"";"0";"21,93";"Não"
"200";"Esfoliante Facial (2)";"100g";"28,75";"137";"";"5";"27,31";"Não"
"199";"Óleo Corporal Hidratante (2)";"120ml";"80,76";"120";"https://exemplo.com/fotos/produto2985_1.jpg | https://exemplo.com/fotos/produto5815_2.jpg";"5";"76,72";"Não"
"198";"Pomada para Assaduras (2)";"45g";"19,72";"68";"";"30";"13,80";"Não"
"197";"Colônia Infantil (2)";"100ml";"22,71";"215";"";"20";"18,17";"Não"
"196";"Fralda Íntima Adulto (2)";"pacote 8 unidades";"80,10";"36";"";"0";"80,10";"Não"
"195";"Absorvente Íntimo (2)";"pacote 8 unidades";"45,94";"278";"";"15";"39,05";"Não"
"194";"Teste de Gravidez (2)";"unidade";"69,00";"126";"";"0";"69,00";"Não"
"193";"Preservativo (2)";"pacote 3 unidades";"35,76";"40";"";"15";"30,40";"Não"
"192";"Protetor Labial FPS 15 (2)";"4g";"74,93";"77";"https://exemplo.com/fotos/produto6235_1.jpg";"20";"59,94";"Não"
"191";"Repelente de Insetos (2)";"100ml";"74,26";"67";"https://exemplo.com/fotos/produto1142_1.jpg";"5";"70,55";"Não"
"190";"Lenço Umedecido (2)";"pacote 50 unidades";"14,12";"238";"https://exemplo.com/fotos/produto5113_1.jpg";"15";"12,00";"Não"
"189";"Fralda Infantil (2)";"pacote 30 unidades";"82,90";"33";"";"0";"82,90";"Não"
"188";"Fralda Geriátrica (2)";"pacote 8 unidades";"83,56";"152";"";"30";"58,49";"Não"
"187";"Soro Fisiológico (2)";"10ml";"86,40";"22";"";"10";"77,76";"Não"
"186";"Algodão Hidrófilo (2)";"50g";"81,38";"173";"";"10";"73,24";"Não"
"185";"Gaze Estéril (2)";"pacote 10 unidades";"44,44";"31";"";"0";"44,44";"Não"
"184";"Curativo Adesivo (2)";"caixa 100 unidades";"26,08";"207";"";"0";"26,08";"Não"
"183";"Termômetro Digital (2)";"unidade";"21,41";"186";"https://exemplo.com/fotos/produto1496_1.jpg";"15";"18,20";"Não"
"182";"Luva Descartável (2)";"100 unidades";"64,95";"100";"";"20";"51,96";"Não"
"181";"Máscara Descartável (2)";"50 unidades";"70,34";"158";"https://exemplo.com/fotos/produto2437_1.jpg";"0";"70,34";"Não"
"180";"Álcool Etílico 70% (2)";"1L";"86,22";"63";"https://exemplo.com/fotos/produto7228_1.jpg";"10";"77,60";"Não"
"179";"Álcool em Gel 70% (2)";"500ml";"5,24";"143";"";"15";"4,45";"Não"
"178";"Escova Dental (2)";"unidade";"76,33";"169";"";"0";"76,33";"Não"
"177";"Fio Dental (2)";"50m";"68,44";"16";"";"15";"58,17";"Não"
"176";"Enxaguante Bucal (2)";"500ml";"84,19";"168";"";"25";"63,14";"Não"
"175";"Creme Dental (2)";"90g";"20,65";"230";"https://exemplo.com/fotos/produto2854_1.jpg";"0";"20,65";"Não"
"174";"Desodorante Antitranspirante (2)";"150ml";"87,80";"72";"";"0";"87,80";"Não"
"173";"Sabonete em Barra (2)";"90g";"85,64";"74";"https://exemplo.com/fotos/produto4488_1.jpg";"0";"85,64";"Não"
"172";"Condicionador Hidratante (2)";"350ml";"47,14";"95";"https://exemplo.com/fotos/produto7832_1.jpg";"0";"47,14";"Não"
"171";"Shampoo Anticaspa (2)";"200ml";"23,82";"151";"";"30";"16,67";"Não"
"170";"Hidratante Corporal (2)";"400ml";"87,44";"159";"https://exemplo.com/fotos/produto4781_1.jpg";"20";"69,95";"Não"
"169";"Sabonete Líquido Facial (2)";"150ml";"21,84";"149";"https://exemplo.com/fotos/produto2104_1.jpg | https://exemplo.com/fotos/produto4362_2.jpg";"20";"17,47";"Não"
"168";"Protetor Solar Corporal FPS 30 (2)";"200ml";"64,14";"215";"";"15";"54,52";"Não"
"167";"Protetor Solar Facial FPS 60 (2)";"40g";"61,73";"189";"";"0";"61,73";"Não"
"166";"Pente Fino Anti Piolho";"unidade";"47,36";"215";"";"0";"47,36";"Não"
"165";"Talco Infantil";"100g";"64,90";"157";"";"0";"64,90";"Não"
"164";"Shampoo Infantil";"200ml";"24,96";"126";"";"15";"21,22";"Não"
"163";"Protetor Solar Infantil FPS 50";"120ml";"89,69";"142";"https://exemplo.com/fotos/produto4970_1.jpg | https://exemplo.com/fotos/produto8787_2.jpg";"25";"67,27";"Não"
"162";"Base Líquida FPS 15";"30ml";"24,00";"0";"";"5";"22,80";"Não"
"161";"Creme Antissinais";"30g";"49,58";"298";"";"5";"47,10";"Não"
"160";"Esfoliante Facial";"100g";"64,38";"57";"";"5";"61,16";"Não"
"159";"Óleo Corporal Hidratante";"120ml";"59,87";"155";"https://exemplo.com/fotos/produto5125_1.jpg | https://exemplo.com/fotos/produto9654_2.jpg";"15";"50,89";"Não"
"158";"Pomada para Assaduras";"45g";"5,12";"64";"";"0";"5,12";"Não"
"157";"Colônia Infantil";"100ml";"85,03";"234";"";"0";"85,03";"Não"
"156";"Fralda Íntima Adulto";"pacote 8 unidades";"24,02";"77";"";"0";"24,02";"Não"
"155";"Absorvente Íntimo";"pacote 8 unidades";"38,28";"270";"https://exemplo.com/fotos/produto5070_1.jpg";"0";"38,28";"Não"
"154";"Teste de Gravidez";"unidade";"41,14";"242";"https://exemplo.com/fotos/produto1002_1.jpg";"0";"41,14";"Não"
"153";"Preservativo";"pacote 3 unidades";"41,71";"159";"https://exemplo.com/fotos/produto3084_1.jpg";"0";"41,71";"Não"
"152";"Protetor Labial FPS 15";"4g";"12,87";"127";"";"20";"10,30";"Não"
"151";"Repelente de Insetos";"100ml";"15,70";"257";"";"0";"15,70";"Não"
"150";"Lenço Umedecido";"pacote 50 unidades";"68,93";"255";"";"10";"62,04";"Não"
"149";"Fralda Infantil";"pacote 30 unidades";"68,40";"107";"";"10";"61,56";"Não"
"148";"Fralda Geriátrica";"pacote 8 unidades";"22,18";"10";"https://exemplo.com/fotos/produto7272_1.jpg";"15";"18,85";"Não"
"147";"Soro Fisiológico";"10ml";"12,74";"122";"";"30";"8,92";"Não"
"146";"Algodão Hidrófilo";"50g";"21,35";"46";"";"25";"16,01";"Não"
"145";"Gaze Estéril";"pacote 10 unidades";"82,03";"230";"";"25";"61,52";"Não"
"144";"Curativo Adesivo";"caixa 100 unidades";"11,39";"256";"https://exemplo.com/fotos/produto4604_1.jpg";"20";"9,11";"Não"
"143";"Termômetro Digital";"unidade";"30,57";"285";"https://exemplo.com/fotos/produto3741_1.jpg";"0";"30,57";"Não"
"142";"Luva Descartável";"100 unidades";"30,31";"133";"";"0";"30,31";"Não"
"141";"Máscara Descartável";"50 unidades";"15,82";"241";"";"5";"15,03";"Não"
"140";"Álcool Etílico 70%";"1L";"68,98";"146";"";"25";"51,74";"Não"
"139";"Álcool em Gel 70%";"500ml";"66,16";"25";"https://exemplo.com/fotos/produto8386_1.jpg";"30";"46,31";"Não"
"138";"Escova Dental";"unidade";"71,74";"219";"https://exemplo.com/fotos/produto7554_1.jpg | https://exemplo.com/fotos/produto9998_2.jpg";"0";"71,74";"Não"
"137";"Fio Dental";"50m";"42,08";"161";"";"10";"37,87";"Não"
"136";"Enxaguante Bucal";"500ml";"75,95";"146";"https://exemplo.com/fotos/produto5084_1.jpg";"5";"72,15";"Não"
"135";"Creme Dental";"90g";"69,23";"24";"";"0";"69,23";"Não"
"134";"Desodorante Antitranspirante";"150ml";"38,40";"39";"";"15";"32,64";"Não"
"133";"Sabonete em Barra";"90g";"81,63";"148";"";"0";"81,63";"Não"
"132";"Condicionador Hidratante";"350ml";"5,15";"173";"https://exemplo.com/fotos/produto4207_1.jpg";"0";"5,15";"Não"
"131";"Shampoo Anticaspa";"200ml";"40,38";"192";"";"10";"36,34";"Não"
"130";"Hidratante Corporal";"400ml";"62,93";"207";"";"0";"62,93";"Não"
"129";"Sabonete Líquido Facial";"150ml";"38,50";"81";"";"20";"30,80";"Não"
"128";"Protetor Solar Corporal FPS 30";"200ml";"28,76";"57";"https://exemplo.com/fotos/produto9157_1.jpg";"20";"23,01";"Não"
"127";"Protetor Solar Facial FPS 60";"40g";"27,25";"184";"";"25";"20,44";"Não"
"126";"Symbioflora";"6 flaconetes";"14,51";"46";"";"25";"10,88";"Não"
"125";"Probiótico Floratil (2)";"30 cápsulas";"99,47";"230";"https://exemplo.com/fotos/produto4437_1.jpg";"0";"99,47";"Não"
"124";"Probiótico Floratil";"6 cápsulas";"112,73";"8";"";"0";"112,73";"Não"
"123";"Zinco Quelato 15mg";"60 cápsulas";"59,16";"60";"https://exemplo.com/fotos/produto4264_1.jpg | https://exemplo.com/fotos/produto6106_2.jpg";"0";"59,16";"Não"
"122";"Magnésio Dimalato 500mg";"60 cápsulas";"39,16";"264";"";"20";"31,33";"Não"
"121";"Melatonina 5mg (2)";"60 comprimidos";"12,92";"137";"https://exemplo.com/fotos/produto4566_1.jpg";"20";"10,34";"Não"
"120";"Melatonina 5mg";"30 comprimidos";"43,82";"155";"https://exemplo.com/fotos/produto1204_1.jpg";"20";"35,06";"Não"
"119";"Melatonina 3mg (2)";"60 comprimidos";"93,43";"101";"";"0";"93,43";"Não"
"118";"Melatonina 3mg";"30 comprimidos";"62,31";"195";"";"5";"59,19";"Não"
"117";"Dramin (2)";"gotas 20ml";"102,46";"120";"https://exemplo.com/fotos/produto4780_1.jpg";"20";"81,97";"Não"
"116";"Dramin";"10 comprimidos";"13,53";"242";"";"0";"13,53";"Não"
"115";"Plasil 10mg (2)";"gotas 10ml";"6,38";"35";"https://exemplo.com/fotos/produto9768_1.jpg | https://exemplo.com/fotos/produto2506_2.jpg";"25";"4,79";"Não"
"114";"Plasil 10mg";"20 comprimidos";"69,67";"9";"https://exemplo.com/fotos/produto5006_1.jpg | https://exemplo.com/fotos/produto9016_2.jpg";"5";"66,19";"Não"
"113";"Motilium 10mg";"30 comprimidos";"9,55";"68";"https://exemplo.com/fotos/produto7170_1.jpg";"20";"7,64";"Não"
"112";"Luftal (2)";"20 cápsulas";"21,88";"268";"https://exemplo.com/fotos/produto1263_1.jpg | https://exemplo.com/fotos/produto4767_2.jpg";"0";"21,88";"Não"
"111";"Luftal";"gotas 15ml";"79,33";"22";"https://exemplo.com/fotos/produto9404_1.jpg | https://exemplo.com/fotos/produto8032_2.jpg";"25";"59,50";"Não"
"110";"Simeticona 75mg (2)";"gotas 15ml";"88,16";"253";"";"30";"61,71";"Não"
"109";"Simeticona 75mg";"20 comprimidos";"15,63";"270";"https://exemplo.com/fotos/produto7381_1.jpg";"10";"14,07";"Não"
"108";"Simeticona 40mg (2)";"gotas 15ml";"10,75";"11";"";"0";"10,75";"Não"
"107";"Simeticona 40mg";"20 comprimidos";"16,36";"45";"";"30";"11,45";"Não"
"106";"Domperidona 10mg";"30 comprimidos";"63,32";"102";"";"0";"63,32";"Não"
"105";"Ácido Acetilsalicílico 500mg (2)";"20 comprimidos";"6,12";"195";"";"5";"5,81";"Não"
"104";"Ácido Acetilsalicílico 500mg";"30 comprimidos";"116,09";"158";"";"0";"116,09";"Não"
"103";"Ácido Acetilsalicílico 100mg (2)";"20 comprimidos";"47,51";"168";"https://exemplo.com/fotos/produto6300_1.jpg | https://exemplo.com/fotos/produto5005_2.jpg";"0";"47,51";"Não"
"102";"Ácido Acetilsalicílico 100mg";"30 comprimidos";"27,13";"137";"";"5";"25,77";"Não"
"101";"Hidroclorotiazida 25mg";"30 comprimidos";"105,24";"144";"https://exemplo.com/fotos/produto5801_1.jpg | https://exemplo.com/fotos/produto1741_2.jpg";"20";"84,19";"Sim"
"100";"Enalapril 20mg";"30 comprimidos";"55,10";"28";"";"15";"46,84";"Sim"
"99";"Enalapril 10mg";"30 comprimidos";"117,93";"66";"";"5";"112,03";"Sim"
"98";"Insulina Regular";"1 frasco 10ml";"45,07";"71";"";"10";"40,56";"Sim"
"97";"Insulina NPH";"1 frasco 10ml";"101,15";"201";"https://exemplo.com/fotos/produto4525_1.jpg";"0";"101,15";"Sim"
"96";"Levotiroxina Sódica 100mcg";"30 comprimidos";"112,55";"54";"https://exemplo.com/fotos/produto8080_1.jpg | https://exemplo.com/fotos/produto9110_2.jpg";"25";"84,41";"Sim"
"95";"Levotiroxina Sódica 50mcg";"30 comprimidos";"68,82";"97";"";"0";"68,82";"Sim"
"94";"Levotiroxina Sódica 25mcg";"30 comprimidos";"119,37";"18";"";"25";"89,53";"Sim"
"93";"Cefalexina 500mg";"8 cápsulas";"39,06";"256";"https://exemplo.com/fotos/produto6685_1.jpg";"0";"39,06";"Sim"
"92";"Amoxicilina + Clavulanato 875mg";"14 comprimidos";"11,74";"103";"https://exemplo.com/fotos/produto5997_1.jpg | https://exemplo.com/fotos/produto9701_2.jpg";"0";"11,74";"Sim"
"91";"Predsim xarope";"100ml";"20,73";"269";"https://exemplo.com/fotos/produto3645_1.jpg";"5";"19,69";"Sim"
"90";"Loratadina + Pseudoefedrina";"10 comprimidos";"57,73";"173";"https://exemplo.com/fotos/produto5388_1.jpg";"30";"40,41";"Não"
"89";"Resfenol";"10 comprimidos";"103,61";"34";"";"0";"103,61";"Não"
"88";"Benegrip";"10 comprimidos";"36,66";"8";"https://exemplo.com/fotos/produto2372_1.jpg";"30";"25,66";"Não"
"87";"Vick Vaporub";"50g";"12,56";"93";"";"0";"12,56";"Não"
"86";"Bisolvon xarope (2)";"120ml";"67,17";"263";"https://exemplo.com/fotos/produto6358_1.jpg | https://exemplo.com/fotos/produto2465_2.jpg";"5";"63,81";"Não"
"85";"Bisolvon xarope";"20ml";"36,83";"66";"https://exemplo.com/fotos/produto5237_1.jpg | https://exemplo.com/fotos/produto7651_2.jpg";"0";"36,83";"Não"
"84";"Bisolvon gotas (2)";"120ml";"15,58";"139";"";"0";"15,58";"Não"
"83";"Bisolvon gotas";"20ml";"77,13";"262";"https://exemplo.com/fotos/produto4744_1.jpg";"0";"77,13";"Não"
"82";"Xarope de Guaco";"120ml";"58,29";"9";"";"25";"43,72";"Não"
"81";"Torsilax";"20 comprimidos";"46,65";"47";"https://exemplo.com/fotos/produto6537_1.jpg";"25";"34,99";"Sim"
"80";"Dorflex";"30 comprimidos";"119,32";"206";"";"0";"119,32";"Não"
"79";"Miconazol creme";"1 bisnaga 28g";"106,88";"83";"https://exemplo.com/fotos/produto3645_1.jpg";"15";"90,85";"Não"
"78";"Nistatina pomada";"1 bisnaga 25g";"22,30";"70";"https://exemplo.com/fotos/produto2542_1.jpg";"15";"18,96";"Sim"
"77";"Nistatina creme";"1 bisnaga 25g";"54,83";"108";"https://exemplo.com/fotos/produto3530_1.jpg";"10";"49,35";"Sim"
"76";"Aciclovir creme 10g (2)";"1 bisnaga";"50,73";"161";"";"0";"50,73";"Sim"
"75";"Aciclovir creme 10g";"25 comprimidos";"111,20";"103";"https://exemplo.com/fotos/produto7826_1.jpg";"0";"111,20";"Sim"
"74";"Aciclovir 200mg (2)";"1 bisnaga";"57,57";"273";"https://exemplo.com/fotos/produto5057_1.jpg | https://exemplo.com/fotos/produto9572_2.jpg";"5";"54,69";"Sim"
"73";"Aciclovir 200mg";"25 comprimidos";"116,96";"262";"";"5";"111,11";"Sim"
"72";"Rivotril 2mg";"30 comprimidos";"9,18";"32";"";"30";"6,43";"Sim"
"71";"Neosaldina";"20 comprimidos";"37,57";"50";"";"25";"28,18";"Não"
"70";"Tylenol 750mg";"20 comprimidos";"69,32";"54";"https://exemplo.com/fotos/produto5071_1.jpg";"0";"69,32";"Não"
"69";"Novalgina 500mg (2)";"gotas 20ml";"59,98";"61";"https://exemplo.com/fotos/produto9492_1.jpg";"25";"44,99";"Não"
"68";"Novalgina 500mg";"20 comprimidos";"94,52";"2";"https://exemplo.com/fotos/produto3823_1.jpg";"0";"94,52";"Não"
"67";"Buscopan Composto";"20 comprimidos";"66,63";"268";"";"20";"53,30";"Não"
"66";"Buscopan 10mg";"20 comprimidos";"108,34";"298";"https://exemplo.com/fotos/produto7891_1.jpg | https://exemplo.com/fotos/produto9219_2.jpg";"0";"108,34";"Não"
"65";"Multivitamínico Centrum (2)";"60 comprimidos";"53,77";"67";"";"10";"48,39";"Não"
"64";"Multivitamínico Centrum";"30 comprimidos";"39,40";"123";"https://exemplo.com/fotos/produto5249_1.jpg";"25";"29,55";"Não"
"63";"Colágeno Hidrolisado (2)";"300g pó";"100,18";"108";"";"0";"100,18";"Não"
"62";"Colágeno Hidrolisado";"30 sachês";"66,03";"71";"";"0";"66,03";"Não"
"61";"Ômega 3 1000mg (2)";"90 cápsulas";"68,55";"67";"";"0";"68,55";"Não"
"60";"Ômega 3 1000mg";"60 cápsulas";"109,15";"74";"https://exemplo.com/fotos/produto8771_1.jpg | https://exemplo.com/fotos/produto6741_2.jpg";"0";"109,15";"Não"
"59";"Vitamina D3 7000UI (2)";"60 cápsulas";"88,63";"87";"https://exemplo.com/fotos/produto3476_1.jpg";"30";"62,04";"Não"
"58";"Vitamina D3 7000UI";"30 cápsulas";"15,89";"202";"";"0";"15,89";"Não"
"57";"Vitamina D3 2000UI (2)";"60 cápsulas";"60,50";"91";"";"10";"54,45";"Não"
"56";"Vitamina D3 2000UI";"30 cápsulas";"97,16";"43";"https://exemplo.com/fotos/produto7365_1.jpg";"0";"97,16";"Não"
"55";"Vitamina C 500mg (2)";"30 comprimidos";"77,14";"0";"";"10";"69,43";"Não"
"54";"Vitamina C 500mg";"10 comprimidos efervescentes";"31,86";"100";"";"20";"25,49";"Não"
"53";"Vitamina C 1g (2)";"30 comprimidos";"114,87";"186";"";"0";"114,87";"Não"
"52";"Vitamina C 1g";"10 comprimidos efervescentes";"28,08";"176";"";"10";"25,27";"Não"
"51";"Complexo B (2)";"60 comprimidos";"46,53";"14";"https://exemplo.com/fotos/produto8737_1.jpg";"5";"44,20";"Não"
"50";"Complexo B";"30 comprimidos";"90,35";"116";"";"20";"72,28";"Não"
"49";"Ácido Fólico 5mg";"20 comprimidos";"43,58";"114";"https://exemplo.com/fotos/produto4922_1.jpg";"15";"37,04";"Não"
"48";"Ranitidina 150mg";"20 comprimidos";"46,55";"114";"";"25";"34,91";"Não"
"47";"Captopril 25mg";"30 comprimidos";"85,37";"133";"";"0";"85,37";"Sim"
"46";"Diazepam 10mg";"20 comprimidos";"110,21";"270";"";"0";"110,21";"Sim"
"45";"Clonazepam 2mg";"30 comprimidos";"29,39";"270";"";"25";"22,04";"Sim"
"44";"Sertralina 50mg";"30 comprimidos";"90,40";"245";"https://exemplo.com/fotos/produto9459_1.jpg";"0";"90,40";"Sim"
"43";"Fluoxetina 20mg";"30 cápsulas";"41,55";"73";"";"10";"37,40";"Sim"
